5 Minutes,Lane 1 Speed (mph),Lane 1 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 4 Speed (mph),Lane 4 Flow (Veh/5 Minutes),Lane 5 Speed (mph),Lane 5 Flow (Veh/5 Minutes),Speed (mph),Flow (Veh/5 Minutes),# Lane Points,% Observed
9/13/2022 0:00,76.50,8,74.00,9,72.00,15,69.20,12,64.50,2,72.10,46,5,100.00
9/13/2022 0:05,75.70,5,74.00,5,71.70,12,69.20,8,64.40,4,71.20,34,5,100.00
9/13/2022 0:10,76.30,7,73.90,8,71.30,13,69.10,11,64.40,0,72.10,39,5,100.00
9/13/2022 0:15,76.10,7,73.90,4,71.60,9,69.10,9,64.40,2,71.70,31,5,100.00
9/13/2022 0:20,75.60,8,74.00,3,72.00,11,69.20,8,64.40,2,71.90,32,5,100.00
9/13/2022 0:25,76.20,3,73.90,5,72.00,6,69.10,10,64.20,3,70.90,27,5,100.00
9/13/2022 0:30,76.50,6,73.90,4,72.20,9,69.20,8,64.20,0,72.50,27,5,100.00
9/13/2022 0:35,76.00,5,73.90,9,72.20,14,69.10,9,64.10,2,71.90,39,5,100.00
9/13/2022 0:40,76.50,1,73.90,3,72.10,6,69.20,5,64.10,0,71.80,15,5,100.00
9/13/2022 0:45,76.60,2,73.90,4,72.00,3,69.10,6,64.10,0,72.00,15,5,100.00
9/13/2022 0:50,76.70,3,73.80,2,71.60,10,69.20,6,64.20,3,70.90,24,5,100.00
9/13/2022 0:55,76.70,4,73.80,9,71.70,6,69.10,8,64.30,1,72.10,28,5,100.00
9/13/2022 1:00,76.70,4,73.90,2,71.60,5,69.20,7,64.40,3,71.00,21,5,100.00
9/13/2022 1:05,76.00,2,74.00,4,71.80,5,69.20,7,64.30,2,71.00,20,5,100.00
9/13/2022 1:10,76.20,5,73.90,2,72.00,5,69.10,9,64.40,2,71.30,23,5,100.00
9/13/2022 1:15,76.40,6,73.90,3,71.90,3,69.10,10,64.40,0,72.10,22,5,100.00
9/13/2022 1:20,75.90,3,73.90,3,71.50,10,69.10,9,64.30,1,71.20,26,5,100.00
9/13/2022 1:25,76.20,3,73.90,4,70.60,10,69.10,8,64.40,6,70.00,31,5,100.00
9/13/2022 1:30,76.70,8,73.80,3,71.30,7,69.10,7,64.30,1,72.40,26,5,100.00
9/13/2022 1:35,76.30,8,73.80,3,71.60,4,69.10,9,64.30,1,72.20,25,5,100.00
9/13/2022 1:40,76.20,6,73.90,3,71.80,2,69.10,11,64.40,3,71.00,25,5,100.00
9/13/2022 1:45,76.70,6,73.90,2,72.00,7,69.00,7,64.60,2,71.80,24,5,100.00
9/13/2022 1:50,76.50,4,73.90,2,71.90,5,69.00,8,64.50,1,71.50,20,5,100.00
9/13/2022 1:55,76.70,7,73.80,6,72.00,7,69.00,7,64.50,0,72.80,27,5,100.00
